"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","NA","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
"1",2012-01-01,"YAKUTAT AIRPORT",-4.53,5.6,-23.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2012-02-01,"YAKUTAT AIRPORT",0.51,8.9,-13.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2012-03-01,"YAKUTAT AIRPORT",-1.39,10,-13.3,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2012-04-01,"YAKUTAT AIRPORT",3.35,13.9,-7.2,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2012-05-01,"YAKUTAT AIRPORT",5.56,13.9,-1.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2012-06-01,"YAKUTAT AIRPORT",9.22,18.3,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2012-07-01,"YAKUTAT AIRPORT",11.15,18.9,3.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2012-08-01,"YAKUTAT AIRPORT",11.4,19.4,0.6,"YF",NA,13.75,10.26,12.36,12.36,11.72,NA,NA,10.85,10.94,NA,NA
"9",2012-09-01,"YAKUTAT AIRPORT",9.16,16.1,0.6,"YF",NA,9.08,7.48,8.1,8.1,6.98,8.28,8.28,6.88,7.18,NA,NA
"10",2012-10-01,"YAKUTAT AIRPORT",2.79,11.1,-11.1,"YF",NA,1.66,3.68,-5.98,-5.98,0.67,2.41,3.26,-2.26,-0.77,NA,NA
"11",2012-11-01,"YAKUTAT AIRPORT",-0.54,7.8,-13.9,"YF",NA,0.12,1.55,-3.9,-3.9,-10.49,1.11,1.22,-2.26,-2.26,NA,NA
"12",2012-12-01,"YAKUTAT AIRPORT",-3.89,5,-16.7,"YF",NA,-0.32,0.45,-6.07,-6.07,-15.93,0.23,0.45,-4.15,-1.57,NA,NA
"13",2013-01-01,"YAKUTAT AIRPORT",-0.31,5.6,-14.4,"YF",NA,-0.55,0.45,-3.12,-3.12,-8.45,0.23,0.45,-1.23,0.01,NA,NA
"14",2013-02-01,"YAKUTAT AIRPORT",1.44,6.1,-5.6,"YF",NA,0.12,0.34,-11.94,-11.94,-7.14,0.23,0.23,-0.1,-2.96,NA,NA
"15",2013-03-01,"YAKUTAT AIRPORT",-1.7,5.6,-13.3,"YF",NA,0.12,0.12,-7.03,-7.03,-13.11,0.12,0.23,0.12,0.12,NA,NA
"16",2013-04-01,"YAKUTAT AIRPORT",0.31,6.1,-11,"YF",NA,0.23,0.12,-5.2,-5.2,-7.4,0.12,0.23,0.12,0.12,NA,NA
"17",2013-05-01,"YAKUTAT AIRPORT",6.48,17.2,-2.7,"YF",NA,0.23,0.23,-2.6,-2.6,-0.89,0.23,0.23,0.12,0.12,NA,NA
"18",2013-06-01,"YAKUTAT AIRPORT",11.87,27.2,2.8,"YF",NA,9.57,7.28,10.56,10.56,10.75,9.47,7.28,11.33,11.92,NA,NA
"19",2013-07-01,"YAKUTAT AIRPORT",12.9,21.7,4.4,"YF",NA,15,11.04,12.78,12.78,NA,13.17,14.04,12.79,12.98,NA,NA
"20",2013-08-01,"YAKUTAT AIRPORT",13.39,20,5.6,"YF",NA,15.38,11.53,13.81,13.81,NA,13.17,14.04,13.75,13.75,NA,NA
"21",2013-09-01,"YAKUTAT AIRPORT",10.66,16.7,1.1,"YF",NA,10.75,8.88,9.9,9.9,NA,9.28,9.57,8.98,9.08,NA,NA
"22",2013-10-01,"YAKUTAT AIRPORT",6.86,13.3,-2.7,"YF",NA,7.08,5.86,6.38,5.86,NA,6.06,6.17,5.66,5.14,5.14,NA
"23",2013-11-01,"YAKUTAT AIRPORT",-0.49,7.8,-14.3,"YF",NA,NA,0.23,-7.79,-0.89,NA,2.84,1.55,NA,0.12,0.12,NA
"24",2013-12-01,"YAKUTAT AIRPORT",-2.52,5.6,-16,"YF",NA,NA,-0.55,-8.71,-2.61,NA,1.33,0.56,NA,-3.55,-1.8,NA
"25",2014-01-01,"YAKUTAT AIRPORT",2.27,10,-6.6,"YF",NA,NA,0.12,-6.75,-4.88,NA,1.11,0.34,NA,-3.32,-3.55,NA
"26",2014-02-01,"YAKUTAT AIRPORT",-4.65,8.9,-19.3,"YF",NA,NA,-4.51,-14.49,-10.35,NA,0.56,0.23,NA,-8.58,-8.58,NA
"27",2014-03-01,"YAKUTAT AIRPORT",-1.1,8.3,-16.6,"YF",NA,NA,-2.73,-11.78,-4.88,NA,0.34,0.23,NA,-10.49,-1.34,NA
"28",2014-04-01,"YAKUTAT AIRPORT",2.92,13.3,-7.7,"YF",NA,NA,-2.38,-16.26,0.01,NA,0.34,0.23,NA,-6,-0.77,NA
"29",2014-05-01,"YAKUTAT AIRPORT",8.42,22.8,-2.1,"YF",NA,NA,0.12,-2.49,5.45,NA,2.3,2.84,NA,9.28,0.01,NA
"30",2014-06-01,"YAKUTAT AIRPORT",9.94,20,1.7,"YF",NA,NA,9.37,11.62,12.11,NA,11.14,12.59,NA,13.94,10.36,NA
"31",2014-07-01,"YAKUTAT AIRPORT",12.6,20.6,3.9,"YF",NA,NA,13.27,4.31,NA,NA,13.75,14.8,NA,NA,NA,NA
"32",2014-08-01,"YAKUTAT AIRPORT",12.58,17.8,4.4,"YF",NA,NA,11.24,4.52,NA,NA,12.98,13.85,NA,NA,NA,NA
"33",2014-09-01,"YAKUTAT AIRPORT",10.64,18.3,-1,"YF",NA,NA,11.04,-0.66,NA,8.38,12.01,13.37,9.37,9.57,NA,NA
"34",2014-10-01,"YAKUTAT AIRPORT",5.39,13.3,-4.3,"YF",NA,NA,NA,-3.43,NA,3.26,NA,NA,4.93,5.66,NA,NA
"35",2014-11-01,"YAKUTAT AIRPORT",1.12,7.8,-10.5,"YF",NA,NA,NA,3.68,NA,2.19,NA,NA,4.31,4.42,NA,NA
"36",2014-12-01,"YAKUTAT AIRPORT",0.99,7.8,-12.1,"YF",NA,NA,NA,2.73,NA,1.55,NA,NA,3.05,2.94,NA,NA
"37",2015-01-01,"YAKUTAT AIRPORT",1.86,8.3,-11.6,"YF",NA,NA,NA,1.87,NA,1.11,NA,NA,2.09,2.3,NA,NA
"38",2015-02-01,"YAKUTAT AIRPORT",0.85,8.3,-12.1,"YF",NA,NA,NA,2.09,NA,0.56,NA,NA,2.62,2.19,NA,NA
"39",2015-03-01,"YAKUTAT AIRPORT",1.67,11.7,-15.5,"YF",NA,NA,NA,3.89,NA,1.11,NA,NA,4,3.68,NA,NA
"40",2015-04-01,"YAKUTAT AIRPORT",3.9,13.9,-4.3,"YF",NA,NA,NA,4.1,NA,2.3,NA,NA,5.35,5.66,NA,NA
"41",2015-05-01,"YAKUTAT AIRPORT",8.6,19.4,-2.1,"YF",NA,NA,NA,5.04,NA,11.04,NA,NA,8.98,9.57,NA,NA
"42",2015-06-01,"YAKUTAT AIRPORT",12,27.8,4.4,"YF",NA,NA,NA,5.55,NA,12.01,NA,11.62,12.4,12.69,10.85,NA
"43",2015-07-01,"YAKUTAT AIRPORT",13.35,23.9,5,"YF",NA,NA,NA,NA,NA,NA,NA,15.38,NA,NA,13.38,NA
"44",2015-08-01,"YAKUTAT AIRPORT",12.8,20.6,3.9,"YF",NA,NA,NA,NA,NA,NA,NA,11.92,NA,NA,11.15,NA
"45",2015-09-01,"YAKUTAT AIRPORT",8.73,17.2,-1,"YF",NA,9.47,NA,NA,NA,NA,NA,7.58,NA,8.98,5.41,9.87
"46",2015-10-01,"YAKUTAT AIRPORT",6.71,13.9,-2.1,"YF",NA,5.35,NA,NA,NA,NA,NA,5.04,NA,0.89,-0.09,6.98
"47",2015-11-01,"YAKUTAT AIRPORT",1.48,8.3,-12.2,"YF",NA,-0.44,NA,NA,NA,NA,NA,2.62,NA,-4.03,-0.93,NA
"48",2015-12-01,"YAKUTAT AIRPORT",-0.05,7.2,-12.1,"YF",NA,-1.34,NA,NA,NA,NA,NA,1.33,NA,-6,-3.54,NA
"49",2016-01-01,"YAKUTAT AIRPORT",2.02,9.4,-8.8,"YF",NA,-2.61,NA,NA,NA,NA,NA,1.22,NA,-5.87,-4.41,NA
"50",2016-02-01,"YAKUTAT AIRPORT",2.87,8.9,-8.8,"YF",NA,-1.23,NA,NA,NA,NA,NA,1.22,NA,-3.91,-4.29,NA
"51",2016-03-01,"YAKUTAT AIRPORT",3.89,13.9,-6.6,"YF",NA,-0.44,NA,NA,NA,NA,NA,1.66,NA,-5.62,-2.25,NA
"52",2016-04-01,"YAKUTAT AIRPORT",5.86,17.8,-2.1,"YF",NA,5.86,NA,NA,NA,NA,NA,4.31,NA,5.45,5.46,NA
"53",2016-05-01,"YAKUTAT AIRPORT",9.3,23.9,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58,6.46,NA
"54",2016-06-01,"YAKUTAT AIRPORT",12.1,26.7,2.8,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2016-07-01,"YAKUTAT AIRPORT",14.1,23.9,6.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2016-08-01,"YAKUTAT AIRPORT",14.28,25.6,5,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2016-09-01,"YAKUTAT AIRPORT",10.03,20,-2.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.19,NA,NA
"58",2016-10-01,"YAKUTAT AIRPORT",4.95,15.6,-4.3,"YF",NA,4.06,NA,NA,NA,NA,3.78,NA,NA,5.28,NA,NA
"59",2016-11-01,"YAKUTAT AIRPORT",2.74,12.2,-9.9,"YF",NA,3.67,NA,NA,NA,NA,2.66,NA,NA,4.32,NA,NA
"60",2016-12-01,"YAKUTAT AIRPORT",-2.01,8.3,-16,"YF",NA,2.24,NA,NA,NA,NA,1.32,NA,NA,2.64,NA,NA
"61",2017-01-01,"YAKUTAT AIRPORT",-2.33,7.2,-16,"YF",NA,0.63,NA,NA,NA,NA,0.55,NA,NA,0.99,NA,NA
"62",2017-02-01,"YAKUTAT AIRPORT",-1.28,7.8,-11.6,"YF",NA,0.52,NA,NA,NA,NA,0.38,NA,NA,0.96,NA,NA
"63",2017-03-01,"YAKUTAT AIRPORT",-3.15,7.2,-19.3,"YF",NA,0.3,NA,NA,NA,NA,0.3,NA,NA,-0.03,NA,NA
"64",2017-04-01,"YAKUTAT AIRPORT",5.25,17.2,-5.5,"YF",NA,0.38,NA,NA,NA,NA,0.25,NA,NA,0.3,NA,NA
"65",2017-05-01,"YAKUTAT AIRPORT",7.42,18.9,-2.1,"YF",NA,4.01,NA,NA,NA,NA,1.94,NA,NA,6.54,NA,NA
"66",2017-06-01,"YAKUTAT AIRPORT",11.11,22.2,1.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2017-07-01,"YAKUTAT AIRPORT",13.37,24.4,5.6,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2017-08-01,"YAKUTAT AIRPORT",12.95,19.4,4.4,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2017-09-01,"YAKUTAT AIRPORT",10.64,23.3,1.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2017-10-01,"YAKUTAT AIRPORT",5.99,14.4,-2.8,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2017-11-01,"YAKUTAT AIRPORT",-0.6,10.6,-15.5,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2017-12-01,"YAKUTAT AIRPORT",-0.28,10.6,-15,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2018-01-01,"YAKUTAT AIRPORT",0.32,11.7,-14.4,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2018-02-01,"YAKUTAT AIRPORT",-2.72,6.1,-17.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2018-03-01,"YAKUTAT AIRPORT",0.68,10,-17.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2018-04-01,"YAKUTAT AIRPORT",3.84,13.9,-8.2,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2018-05-01,"YAKUTAT AIRPORT",7.89,20.6,-0.5,"YF",NA,10.27,5.26,NA,NA,NA,NA,10.25,NA,NA,NA,NA
"78",2018-06-01,"YAKUTAT AIRPORT",11.02,22.8,1.7,"YF",NA,12.2,6.23,NA,14.05,NA,NA,12.39,NA,NA,NA,NA
"79",2018-07-01,"YAKUTAT AIRPORT",13.88,24.4,3.9,"YF",NA,14.65,9.41,NA,12.03,NA,NA,14.24,NA,NA,NA,NA
"80",2018-08-01,"YAKUTAT AIRPORT",13.66,18.3,3.9,"YF",NA,13.98,10,NA,13.16,NA,NA,11.86,NA,NA,NA,NA
"81",2018-09-01,"YAKUTAT AIRPORT",10.3,23.9,-0.5,"YF",NA,9.39,5.97,NA,8.27,NA,NA,1.8,NA,NA,NA,NA
"82",2018-10-01,"YAKUTAT AIRPORT",8.1,18.9,-3.2,"YF",NA,5.31,5.59,4.53,4.09,4.89,NA,0.96,4.51,5.46,4.17,4.19
"83",2018-11-01,"YAKUTAT AIRPORT",3.71,11.1,-6,"YF",NA,3.83,4.92,2.4,1.83,4.35,NA,2.13,3.7,4.97,2.77,3.27
"84",2018-12-01,"YAKUTAT AIRPORT",1.79,9.4,-6.6,"YF",NA,1.53,3.38,1.53,0.19,3.64,NA,0.8,1.56,3.56,1.15,1.83
"85",2019-01-01,"YAKUTAT AIRPORT",-2,8.3,-16.6,"YF",NA,0.82,2.26,0.88,-2.39,2.69,NA,0.25,0.05,1.51,0.14,0.85
"86",2019-02-01,"YAKUTAT AIRPORT",-1.78,8.3,-13.2,"YF",NA,0.5,1.97,0.16,-3.27,2.1,NA,-0.84,-0.9,0.25,0.36,2.58
"87",2019-03-01,"YAKUTAT AIRPORT",3.65,15.6,-10.5,"YF",NA,0.33,1.43,0.19,-2.54,-0.03,NA,-0.2,-0.9,0.08,0.02,0.55
"88",2019-04-01,"YAKUTAT AIRPORT",4.79,16.1,-3.2,"YF",NA,2.74,1.72,2.53,3.35,5.41,NA,0.02,4.01,4.64,3.46,5.69
"89",2019-05-01,"YAKUTAT AIRPORT",9.11,18.9,-1,"YF",NA,9.34,3.48,8.39,7.92,8.79,NA,9.21,7.7,8.04,6.91,9.21
"90",2019-06-01,"YAKUTAT AIRPORT",12.78,30.6,3.9,"YF",NA,13.74,7.29,12.78,11.93,12.15,12.97,13.45,11.05,11.44,10.22,13.21
"91",2019-07-01,"YAKUTAT AIRPORT",15.31,25,9.4,"YF",NA,16.25,10.86,14.38,12.46,12.92,14.17,14.51,12.85,13.02,11.83,14.17
"92",2019-08-01,"YAKUTAT AIRPORT",13.87,26.7,0.6,"YF",NA,14.82,8.82,13.04,12.51,10.22,11.39,13.74,5.9,8,6.61,13.98
"93",2019-09-01,"YAKUTAT AIRPORT",10.83,20,-1,"YF",NA,10.27,6,9.46,7.84,6.94,7.37,8.82,5.67,7.12,NA,9.21
"94",2019-10-01,"YAKUTAT AIRPORT",5.71,13.3,-3.2,"YF",NA,6.23,4.22,4.77,3.62,4.95,4.89,5.62,4.64,5.02,NA,4.43
"95",2019-11-01,"YAKUTAT AIRPORT",3.91,10,-7.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2019-12-01,"YAKUTAT AIRPORT",3.13,13.3,-4.3,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
